"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSCI-102L","Fundamentals of Computation","","2.0 units","Lecture","29908D","001","3:00-4:50pm","Monday","152","148","0","Mohammad Reza Rajati","THH101"
"","","","","Lab","30225R","001","3:00-3:50pm","Tuesday","20","15","0","","KAP134"
"","","","","Lab","30247R","001","5:00-5:50pm","Tuesday","20","9","0","","GFS113"
"","","","","Lab","30248R","001","12:00-12:50pm","Tuesday","20","7","0","","KAP148"
"","","","","Lab","30249R","001","12:00-12:50pm","Tuesday","20","15","0","","WPHB26"
"","","","","Lab","30250R","001","11:00-11:50am","Wednesday","20","20","0","","WPH107"
"","","","","Lab","30251R","001","12:00-12:50pm","Wednesday","20","20","0","","KAP165"
"","","","","Lab","30252R","001","1:00-1:50pm","Wednesday","20","18","0","","KAP141"
"","","","","Lab","30253R","001","12:00-12:50pm","Wednesday","20","7","0","","KAP145"
"","","","","Lab","30254R","001","1:00-1:50pm","Wednesday","20","7","0","","KAP165"
"","","","","Lab","30256R","001","9:00-9:50am","Tuesday","20","11","0","","THH209"
"","","","","Lab","30257R","001","4:00-4:50pm","Tuesday","20","3","0","","DMC209"
"","","","","Lab","30258R","001","4:00-4:50pm","Tuesday","20","16","0","","KAP145"
"","","","","Quiz","30025R","001","3:00-4:50pm","Wednesday","157","148","0","","THH101"
"CSCI-103L","Introduction to Programming","P","4.0 units","Lecture","29966D","001","8:00-9:20am","Tue, Thu","200","161","0","Mark Redekopp","SGM123"
"","","","","Lecture","30207D","001","2:00-3:20pm","Mon, Wed","220","190","0","Mark Redekopp","SGM124"
"","","","","Lab","29903R","001","2:00-3:50pm","Friday","30","25","0","","SAL109"
"","","","","Lab","29904R","001","12:00-1:50pm","Friday","30","28","0","","SAL127"
"","","","","Lab","30037R","001","12:00-1:50pm","Friday","30","25","0","","SAL109"
"","","","","Lab","30042R","001","2:00-3:50pm","Friday","30","25","0","","SAL126"
"","","","","Lab","30043R","001","2:00-3:50pm","Friday","30","26","0","","SAL127"
"","","","","Lab","30046R","001","10:00-11:50am","Friday","30","28","0","","SAL127"
"","","","","Lab","30054R","001","5:00-6:50pm","Friday","30","23","0","","SAL109"
"","","","","Lab","30055R","001","10:00-11:50am","Friday","30","25","0","","SAL126"
"","","","","Lab","30107R","001","8:00-9:50am","Friday","30","20","0","","SAL109"
"","","","","Lab","30120R","001","4:00-5:50pm","Friday","30","28","0","","SAL126"
"","","","","Lab","30121R","001","5:00-6:50pm","Friday","30","24","0","","SAL127"
"","","","","Lab","30296R","001","8:00-9:50am","Friday","30","22","0","","SAL126"
"","","","","Lab","30362R","001","10:00-11:50am","Friday","30","23","0","","SAL109"
