"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"DSCI-351","Foundations of Data Management","P","4.0 units","Lecture","32400R","001","10:00-11:50am","Mon, Wed","35","34","0","Wensheng Wu","DMC151"
"","","","","Lecture","32454R","001","8:00-9:50am","Mon, Wed","90","39","0","Wensheng Wu","WPHB27"
"DSCI-352","Applied Machine Learning and Data Mining","P","4.0 units","Lecture","32403D","001","3:30-6:50pm","Thursday","40","33","0","David Pynadath","WPHB28"
"","","","","Lecture","32452D","001","4:00-5:50pm","Mon, Wed","40","39","0","Fred Morstatter","DMC101"
"DSCI-454","Data Visualization and User Interface Design","P","4.0 units","Lecture","32405D","001","2:00-5:20pm","Tuesday","30","30","0","David Chan","DMC151"
"","","","","Lecture","32450D","001","6:00-9:20pm","Tuesday","30","28","0","David Chan","DMC261"
"DSCI-510","Principles of Programming for Data Science","","4.0 units","Lecture","32429D","048","12:00-1:50pm","Monday","50","46","0","Jeremy Abramson","VPD116"
"","","","","Lab","32430R","048","12:00-1:50pm","Wednesday","50","46","0","","VPD116"
"","","","","Lecture","32435D","048","2:00-3:50pm","Wednesday","51","50","0","Ulf Hermjakob","THH212"
"","","","","Lab","32434R","048","2:00-3:50pm","Friday","51","50","0","","THH212"
"","","","","Lecture","32436D","048","4:00-5:50pm","Wednesday","50","46","0","Jose-Luis Ambite","RTH109"
"","","","","Lab","32437R","048","4:00-5:50pm","Friday","50","46","0","","RTH109"
"","","","","Lecture","32440D","034","4:00-5:50pm","Wednesday","30","12","0","Jose-Luis Ambite","DEN@Viterbi"
"","","","","Lab","32441R","034","4:00-5:50pm","Friday","30","12","0","","DEN@Viterbi"
"DSCI-525","Trusted System Design, Analysis and Development","","4.0 units","Lecture","32408D","048","2:00-5:20pm","Monday","40","38","0","Tanya Ryutov","OHE100C"
"","","","","Lecture","32424D","034","2:00-5:20pm","Monday","30","11","0","Tanya Ryutov","DEN@Viterbi"
"DSCI-529","Security and Privacy","","4.0 units","Lecture","32410D","048","12:00-3:20pm","Friday","82","81","0","Clifford Neuman","OHE136"
"","","","","Lecture","32425D","034","12:00-3:20pm","Friday","30","29","0","Clifford Neuman","DEN@Viterbi"
"DSCI-531","Fairness in Artificial Intelligence","","4.0 units","Lecture","32427D","048","4:00-5:50pm","Mon, Wed","80","80","0","Keith Burghardt","OHE132"
"","","","","Lecture","32455D","034","4:00-5:50pm","Mon, Wed","30","4","0","Keith Burghardt","DEN@Viterbi"
"DSCI-549","Introduction to Computational Thinking and Data Science","","4.0 units","Lecture","32411D","048","2:00-5:20pm","Tuesday","50","14","0","Ning Wang","OHE136"
"","","","","Lecture","32438D","048","3:30-6:50pm","Tuesday","70","46","0","Luca Luceri","SLH200"
"","","","","Lecture","32442D","034","2:00-5:20pm","Tuesday","30","10","0","Ning Wang","DEN@Viterbi"
"DSCI-550","Data Science at Scale","","4.0 units","Lecture","32413D","048","4:00-7:20pm","Thursday","50","50","0","Christian Mattmann","OHE132"
"","","","","Lecture","32444D","048","5:00-6:50pm","Tue, Thu","80","72","0","Seon Kim","MHP101"
"","","","","Lecture","32426D","034","4:00-7:20pm","Thursday","30","10","0","Christian Mattmann","DEN@Viterbi"
"DSCI-551","Foundations of Data Management","","4.0 units","Lecture","32401D","048","5:00-8:20pm","Wednesday","240","221","0","Wensheng Wu","SGM124"
"","","","","Lecture","32423D","034","5:00-8:20pm","Wednesday","30","25","0","Wensheng Wu","DEN@Viterbi"
"DSCI-552","Machine Learning for Data Science","","4.0 units","Lecture","32414D","048","4:00-5:50pm","Tue, Thu","115","116","0","Mohammad Reza Rajati","OHE122"
"","","","","Lecture","32415D","048","10:00-11:50am","Tue, Thu","75","74","0","Mohammad Reza Rajati","GFS116"
"","","","","Lecture","32416D","048","4:00-5:50pm","Tue, Thu","140","54","0","Ke-Thia Yao","MRF340"
"","","","","Lecture","32443D","034","4:00-5:50pm","Tue, Thu","30","9","0","Mohammad Reza Rajati","DEN@Viterbi"
"DSCI-553","Foundations and Applications of Data Mining","P","4.0 units","Lecture","32418D","048","2:00-5:20pm","Friday","300","131","0","Wei-Min Shen","SGM123"
"","","","","Lecture","32446D","034","2:00-5:20pm","Friday","30","11","0","Wei-Min Shen","DEN@Viterbi"
"DSCI-560","Data Science Professional Practicum","","4.0 units","Lecture","32412D","048","8:00-9:50am","Tue, Thu","90","76","0","Young Cho","SOSB2"
"DSCI-561","Predictive Analytics","","4.0 units","Lecture","31546D","048","12:00-1:50pm","Mon, Wed","40","40","0","Maryam Pishgar","OHE100D"
"","","","","Lecture","31729D","048","12:00-1:50pm","Tue, Thu","30","26","0","Victoria Stodden","GER206"
"","","","","Lecture","31731D","048","4:00-5:50pm","Tue, Thu","65","43","0","Victoria Stodden","THH208"
"","","","","Lecture","31746D","034","12:00-1:50pm","Mon, Wed","20","2","0","Maryam Pishgar","DEN@Viterbi"
"DSCI-563","Medical Diagnostics, Therapeutics and Informatics Applications","","4.0 units","Lecture","29305D","034","10:00-11:50am","Tue, Thu","10","6","0","Brent Liu","DEN@Viterbi"
"","","","","Lecture","29310D","048","10:00-11:50am","Tue, Thu","30","13","0","Brent Liu","OHE100C"
"DSCI-590","Directed Research","","1.0-12.0 units","Lecture","32432D","048","TBA","","10","1","0","Yolanda Gil","OFFICE"
"DSCI-599","Special Topics","","1.0-8.0 units, max 8"
"","Machine Learning for a Secure Internet","","4.0","Lecture","32449R","048","12:00-1:50pm","Mon, Wed","28","20","0","Alefiya Hussain","SOSB52"
"","Data Science for Business, Economics, and Society","","4.0","Lecture","32451D","048","6:00-9:20pm","Monday","30","29","0","Wensheng Wu Milan Miric","GFS222"
"","Optimization Techniques for Data Science","","4.0","Lecture","32453R","048","2:00-5:20pm","Friday","30","12","0","Satish Thittamaranahalli Ka","VHE210"
