"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-109L","Introduction to Embedded Systems","P","4.0 units","Lecture","30999D","001","2:00-3:20pm","Tue, Thu","44","37","0","Gandhi Puvvada","THH114"
"","","","","Lecture","31019D","001","9:30-10:50am","Tue, Thu","42","42","0","Mark Redekopp","VHE205"
"","","","","Lecture","31291D","001","12:30-1:50pm","Tue, Thu","49","47","0","Allan Weber","THH116"
"","","","","Lecture","31395D","001","11:00-12:20pm","Tue, Thu","50","49","0","Mark Redekopp","GFS101"
"","","","","Quiz","30530R","001","7:00-8:50pm","Tuesday","190","169","0","","OFFICE"
"","","","","Lab","30784R","001","12:30-1:50pm","Friday","38","32","0","","VHE205"
"","","","","Lab","30799R","001","12:30-1:50pm","Wednesday","38","38","0","","VHE205"
"","","","","Lab","31018R","001","11:00-12:20pm","Friday","38","33","0","","VHE205"
"","","","","Lab","31292R","001","3:30-4:50pm","Wednesday","38","36","0","","VHE205"
"","","","","Lab","31396R","001","2:00-3:20pm","Wednesday","38","36","0","","VHE205"
"EE-202L","Linear Circuits","","4.0 units","Lecture","30426D","001","10:00-11:50am","Tue, Thu","64","64","0","Susan Schober","OHE230"
"","","","","Discussion","30430R","001","TBA","","67","64","0","","OFFICE"
"","","","","Lab","30425R","001","4:00-5:50pm","Monday","34","33","0","","OHE230"
"","","","","Lab","30429R","001","6:00-7:50pm","Monday","34","31","0","","OHE230"
"EE-250L","Distributed Systems for the Internet of Things","PC","4.0 units","Lecture","30441D","001","4:00-5:50pm","Mon, Wed","69","66","0","Bhaskar Krishnamachari","SOSB46"
"","","","","Lab","30416R","001","4:00-5:50pm","Tuesday","38","36","0","","VHE205"
"","","","","Lab","30923R","001","4:00-5:50pm","Thursday","38","30","0","","VHE205"
"EE-301","Linear Systems","P","4.0 units","Lecture","30811R","001","4:00-5:50pm","Mon, Wed","40","29","0","Chris Kyriakakis","GFS207"
"","","","","Lab","30555R","001","4:00-6:00pm","Friday","40","29","0","Chris Kyriakakis","OHE230"
"EE-338","Physical Electronics","P","4.0 units","Lecture","30467R","001","3:30-4:50pm","Tue, Thu","24","14","0","Rehan Kapadia","KAP141"
"","","","","Discussion","30468R","001","1:00-1:50pm","Thursday","25","10","0","","WPH205"
"","","","","Discussion","30469R","001","4:00-4:50pm","Monday","25","4","0","","GFS229"
"EE-354L","Introduction to Digital Circuits","P","4.0 units","Quiz","30725R","048","5:00-7:50pm","Friday","68","67","0","","OFFICE"
"","","","","Lecture","30978D","001","10:00-11:50am","Mon, Wed","68","67","0","Gandhi Puvvada","ZHS159"
"","","","","Lab","30436R","001","4:30-7:20pm","Wednesday","18","16","0","Gandhi Puvvada","OHE336"
"","","","","Lab","30483R","001","5:00-7:50pm","Tuesday","18","18","0","Gandhi Puvvada","OHE336"
"","","","","Lab","30699R","001","6:00-8:50pm","Thursday","18","18","0","Gandhi Puvvada","OHE336"
"","","","","Lab","30434R","001","6:00-8:50pm","Monday","18","15","0","Gandhi Puvvada","OHE336"
"EE-355x","Software Design for Electrical Engineers","P","4.0 units","Lecture","30576R","001","2:00-3:50pm","Mon, Wed","25","17","0","Shahin Nazarian","GFS228"
"","","","","Lecture","30577D","001","12:00-1:50pm","Mon, Wed","46","45","0","Shahin Nazarian","KDC240"
"","","","","Quiz","31119R","001","7:30-9:30pm","Wednesday","70","62","0","","TBA"
"","","","","Lab","30459R","001","7:00-8:50pm","Tuesday","25","20","0","","GFS223"
"","","","","Lab","30473R","001","7:00-8:50pm","Monday","40","42","0","","THH116"
"EE-364","Introduction to Probability and Statistics for Electrical Engineering and Computer Science","P","4.0 units","Lecture","30889D","001","12:00-1:50pm","Tue, Thu","44","43","0","Todd Brun","WPHB28"
"","","","","Discussion","30543R","001","3:00-3:50pm","Monday","44","43","0","Todd Brun","KAP146"
"","","","","Lecture","30713R","001","3:30-5:20pm","Tue, Thu","40","23","0","Ben Reichardt","THH116"
"","","","","Discussion","30715R","001","3:00-3:50pm","Monday","40","23","0","Ben Reichardt","VPD105"
"EE-415","Introduction to MEMS","","3.0 units","Lecture","28861R","001","10:00-11:20am","Mon, Wed","40","40","0","Hangbo Zhao","DMC101"
"EE-434Lx","Digital Signal Processing Design Laboratory","PC","4.0 units","Lecture","30544R","001","3:30-4:50pm","Monday","15","3","0","Brandon Franzke","EEBB18"
"","","","","Lab","30548R","001","3:30-4:50pm","Wednesday","15","3","0","","EEBB18"
"EE-443","Introduction to Power Systems","P","4.0 units","Lecture","30526R","001","6:00-9:40pm","Thursday","42","11","0","Mohammed Beshir","OHE122"
"","","","","Lecture","30527D","014","6:00-9:40pm","Thursday","42","9","0","Mohammed Beshir","DEN@Viterbi"
"EE-445L","Introduction to Robotics","PC","4.0 units","Lecture","30386D","001","8:00-9:20am","Tue, Thu","30","22","0","Erdem Biyik","KAP163"
"","","","","Lab","29910R","001","10:00-11:50am","Tuesday","15","14","0","","RTH419"
"","","","","Lab","29911R","001","10:00-11:50am","Thursday","15","8","0","","RTH419"
"EE-447Lx","Mixed Signal Electronic Circuits","PC","4.0 units","Lecture-Lab","30525R","001","TBA","","22","16","0","Susan Schober","OFFICE"
"EE-450","Introduction to Computer Networks","C","4.0 units","Quiz","31189R","001","TBA","Friday","200","124","0","Ali Zahid","OFFICE"
"","","","","Lecture","30568D","014","7:30-9:20am","Tue, Thu","30","10","0","Ali Zahid","DEN@Viterbi"
"","","","","Discussion","30570D","014","2:00-2:50pm","Friday","30","10","0","Ali Zahid","DEN@Viterbi"
"","","","","Quiz","31190D","014","5:00-6:50pm","Friday","30","9","0","Ali Zahid","DEN@Viterbi"
"","","","","Lecture","30564R","001","11:00-12:50pm","Tue, Thu","58","56","0","Ali Zahid","THH210"
"","","","","Lecture","30828R","001","7:30-9:20am","Tue, Thu","70","67","0","Ali Zahid","OHE122"
"","","","","Discussion","30566R","001","5:00-5:50pm","Wednesday","58","55","0","Ali Zahid","DMC100"
"","","","","Discussion","30829R","001","2:00-2:50pm","Friday","70","68","0","Ali Zahid","OHE132"
"EE-451","Parallel and Distributed Computation","P","4.0 units","Lecture","30661R","001","2:00-3:20pm","Tue, Thu","60","47","0","Viktor Prasanna","SOSB4"
"","","","","Lab","30466R","001","2:00-3:20pm","Friday","60","47","0","","GFS118"
"EE-455x","Introduction to Programming Systems Design","","4.0 units","Lecture","30327D","001","10:00-11:20am","Tue, Thu","120","56","0","Claire Bono","OHE122"
"","","","","Lab","30029R","001","1:00-2:50pm","Thursday","31","29","0","","SAL109"
"","","","","Lab","30329R","001","3:00-4:50pm","Thursday","30","27","0","","SAL126"
"","","","","Lecture","29934D","014","10:00-11:20am","Tue, Thu","30","16","0","Claire Bono","DEN@Viterbi"
"","","","","Lab","30023R","014","TBA","","30","16","0","","DEN@Viterbi"
"EE-457","Computer Systems Organization","P","4.0 units","Lecture","30478D","001","2:00-3:50pm","Mon, Wed","50","38","0","Gandhi Puvvada","OHE230"
"","","","","Lecture","30591D","001","4:00-5:50pm","Tue, Thu","56","50","0","Gandhi Puvvada","OHE100D"
